SexAge,男10至12歲（體重38kg）,女10至12歲（體重39kg）,男13至15歲（體重55kg）,女13至15歲（體重49kg）,男16至18歲（體重62kg）,女16至18歲（體重51kg）,男19至30歲（體重64kg）,女19至30歲（體重52kg）,男31至50歲（體重64kg）,女31至50歲（體重54kg）,男51至70歲（體重60kg）,女51至70歲（體重52kg）,男71歲以上（體重58kg）,女71歲以上（體重50kg）
熱量(kcal),2350,2250,2800,2350,2900,2250,2400,1900,2400,1900,2250,1800,2150,1700
水分(g),1520,1560,2200,1960,2480,2040,2560,2080,2560,2160,2400,2080,2320,2000
粗蛋白(g),55,50,70,60,75,55,60,50,60,50,55,50,60,50
粗脂肪(g),39.517937,37.836323,47.085202,39.517937,48.766816,37.836323,40.358744,31.950673,40.358744,31.950673,37.836323,30.269058,36.154709,28.587444
總碳水化合物(g),325.566751,311.712846,387.90932,325.566751,401.763224,311.712846,332.493703,263.224181,332.493703,263.224181,311.712846,249.370277,297.858942,235.516373
膳食纖維(g),33,32,39,33,41,32,34,27,34,27,32,25,30,24
糖質總量(g),59.193955,56.675063,70.528967,59.193955,73.047859,56.675063,60.453401,47.858942,60.453401,47.858942,56.675063,45.34005,54.156171,42.821159
鈉(mg),380,390,550,490,620,510,640,520,640,540,600,520,580,500
鉀(mg),3000,2500,3300,2550,3600,2600,3800,2800,3800,2800,3800,2800,3800,2800
鈣(mg),1000,1000,1200,1200,1200,1200,1000,1000,1000,1000,1000,1000,1000,1000
鎂(mg),230,230,350,320,390,330,380,320,380,320,360,310,350,300
鐵(mg),15,15,15,15,15,15,10,15,10,15,10,10,10,10
鋅(mg),10,10,15,12,15,12,15,12,15,12,15,12,15,12
磷(mg),800,800,1000,1000,1000,1000,800,800,800,800,800,800,800,800
銅(mg),0.7,0.7,0.8,0.8,0.89,0.89,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
視網醇當量(RE)(ug),500,400,600,500,700,500,600,500,600,500,600,500,600,500
β-胡蘿蔔素(ug),2192.307692,2250,3173.076923,2826.923077,3576.923077,2942.307692,3692.307692,3000,3692.307692,3115.384615,3461.538462,3000,3346.153846,2884.615385
α-維生素E當量(α-TE)(mg),10,10,12,12,13,13,12,12,12,12,12,12,12,12
維生素B1(mg),1.1,1.1,1.3,1.1,1.4,1.1,1.2,0.9,1.2,0.9,1.2,0.9,1.2,0.9
維生素B2(mg),1.3,1.2,1.5,1.3,1.6,1.2,1.3,1,1.3,1,1.3,1,1.3,1
菸鹼素(mg),15,15,18,15,18,15,16,14,16,14,16,14,16,14
維生素B6(mg),1.3,1.3,1.4,1.3,1.5,1.3,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6
維生素B12(ug),2,2.2,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
葉酸(ug),300,300,400,400,400,400,400,400,400,400,400,400,400,400
維生素C(mg),80,80,100,100,100,100,100,100,100,100,100,100,100,100
脂肪酸M總量(mg),2634.529148,2522.421525,3139.013453,2634.529148,3251.121076,2522.421525,2690.58296,2130.044843,2690.58296,2130.044843,2522.421525,2017.93722,2410.313901,1905.829596
脂肪酸P總量(mg),7903.587444,7567.264574,9417.040359,7903.587444,9753.363229,7567.264574,8071.748879,6390.134529,8071.748879,6390.134529,7567.264574,6053.811659,7230.941704,5717.488789
亞麻油酸(18:2)(mg),5269.058296,5044.843049,6278.026906,5269.058296,6502.242152,5044.843049,5381.165919,4260.089686,5381.165919,4260.089686,5044.843049,4035.874439,4820.627803,3811.659193
次亞麻油酸(18:3)(mg),1844.170404,1765.695067,2197.309417,1844.170404,2275.784753,1765.695067,1883.408072,1491.03139,1883.408072,1491.03139,1765.695067,1412.556054,1687.219731,1334.080717
酥胺酸(Thr)(mg),1292,1326,1608.75,1433.25,1519,1249.5,960,780,960,810,900,780,870,750
胱胺酸(Cys)(mg),513,526.5,613.25,546.35,545.6,448.8,262.4,213.2,262.4,221.4,246,213.2,237.8,205
纈胺酸(Val)(mg),1254,1287,1718.75,1531.25,1829,1504.5,1664,1352,1664,1404,1560,1352,1508,1300
甲硫胺酸(Met)(mg),513,526.5,699.875,623.525,740.9,609.45,665.6,540.8,665.6,561.6,624,540.8,603.2,520
異白胺酸(Ile)(mg),1064,1092,1430,1274,1488,1224,1280,1040,1280,1080,1200,1040,1160,1000
白胺酸(Leu)(mg),1862,1911,2557.5,2278.5,2728,2244,2496,2028,2496,2106,2340,2028,2262,1950
酪胺酸(Tyr)(mg),513,526.5,728.75,649.25,806,663,800,650,800,675,750,650,725,625
苯丙胺酸(Phe)(mg),513,526.5,728.75,649.25,806,663,800,650,800,675,750,650,725,625
離胺酸(Lys)(mg),2242,2301,2846.25,2535.75,2759,2269.5,1920,1560,1920,1620,1800,1560,1740,1500
組胺酸(His)(mg),703,721.5,660,588,682,561,640,520,640,540,600,520,580,500
色胺酸(Trp)(mg),152,156,220,196,248,204,256,208,256,216,240,208,232,200
飽和脂肪(mg),21076.23318,20179.3722,25112.10762,21076.23318,26008.96861,20179.3722,21524.66368,17040.35874,21524.66368,17040.35874,20179.3722,16143.49776,19282.51121,15246.63677
反式脂肪(mg),2634.529148,2522.421525,3139.013453,2634.529148,3251.121076,2522.421525,2690.58296,2130.044843,2690.58296,2130.044843,2522.421525,2017.93722,2410.313901,1905.829596
膽固醇(mg),190,195,275,245,310,255,320,260,320,270,300,260,290,250
