Line 1,Line 2,Link
"2009年拳王泰森開始素食，","拍葉問3時已經減重成功了！  ",http://rockhardphysique.blogspot.tw/2011/05/mike-tysons-weight-loss-and-vegan-diet.html?m=1
"影片：青花椰苗、苜蓿芽小芽菜抗癌效果佳","～ 芽菜可以自已種！",https://www.youtube.com/watch?v=OEuvSTrCx2Y&t=1875s
"整全蔬食指南：攝取原形蔬果穀豆、種子堅果，","避免動物性食物、精製食品、添加糖與油",https://www.wfpblifestyle.org/guidelines
"生意差 美國紐約最大牛奶業者工廠倒閉，","改做全植物堅果奶 生意蒸蒸日上",https://www.businessinsider.com/dairy-farm-nut-milks-elmhurst-2017-4
"COWSPIRACY《奶牛陰謀》","為何畜牧業比運輸業對氣候變遷更有害？",http://www.godsdirectcontact.org.tw/ch/news/214/cowspiracy-veganism-is-vital-if-we-want-a-future-on-earth/
"IPCC：必須改變糧食生產及土地運用方式 -- ","減少肉類消費，以降低甲烷排放",https://www.theguardian.com/environment/2019/aug/03/ipcc-land-use-food-production-key-to-climate-crisis-leaked-report
"火腿香腸等加工肉品為1級致癌物，","與香菸同級；紅肉列2A級「可能致癌」",https://health.udn.com/health/story/6037/1274489
"紐約市長亞當斯：我用蔬食逆轉了糖尿病，","現在我想幫助美國變得健康 ",https://edition.cnn.com/2022/09/27/opinions/america-diabetes-obesity-crises-eric-adams
"研究：吃太多肉可能是迫於社會壓力　—","一個素食成員即能緩解這個壓力",https://www.mdpi.com/2071-1050/11/14/3936
"九枚奧運金牌得主Carl Lewis：","蔬食大幅改善健康和運動表現",https://www.drmcdougall.com/health/education/podcast/carl-lewis/
"張學友靠這樣吃62歲沒小腹！","80歲名醫一吃就是40年",https://health.tvbs.com.tw/regimen/347019
"大豆三兄弟：","黃豆、黑豆、毛豆",http://www.foodnext.net/life/health2/paper/4739510750
"【TIME】緩解氣候暖化的關鍵：","為什麼你必須少吃點牛肉？",https://www.thenewslens.com/feature/timefortune/123620
"大導演卡麥隆及他的夫人為何採植物性飲食？","The Day My Food World Turned Upside Down",http://www.huffingtonpost.com/suzy-amis-cameron/the-day-my-food-world-turned-upside-down_b_7740468.html
"植物性飲食：大導演卡麥隆","身材更好、體能更好，免疫系統堅如磐石，多年沒生病！",http://www.jamescamerononline.com/QAJAMESCAMERON.htm
"《茹素的力量》大導演卡麥隆的紀錄片","素食運動員打臉蛋白質神話",https://youtu.be/qO-67wHAxb8
"分析：來自畜牧業的溫室氣體排放可能佔 51%","Livestock and Climate Change: What if the key actors in climate change are...cows, pigs, and chickens?",http://magazine.godsdirectcontact.net/chinese-t/205/so_34.htm
"多菜少肉就對了！","科學家推出拯救世界的《地球健康飲食指南》",https://e-info.org.tw/node/216120
"健康永續的加拿大飲食指南：","奶類不是必需品",https://www.twvns.org/info/story/355-2019-02-01-01-41-01
"比爾．蓋茲也「潮」素食：","阿諾．史瓦辛格告訴你「茹素的力量」有多大！",https://vocus.cc/@lintingan/5df2ce99fd897800010e1597
"加工肉品 ","被 WHO 國際癌症研究機構列為１級致癌物",https://zh.wikipedia.org/wiki/1%E7%B1%BB%E8%87%B4%E7%99%8C%E7%89%A9
"加拿大健康飲食指南：","做官要敢於得罪大財團 (譚蕙芸)",https://www.facebook.com/wwviviantam/posts/2097788456976235/
"加拿大飲食指南 倡導植物性飲食：","研究顯示植物為主的飲食能減少一系列慢性病",https://healthmedia.com.tw/main_detail.php?id=42114
"加拿大健康飲食指南 ─","為什麼牛奶類、純果汁出局？",https://www.commonhealth.com.tw/article/79125
"加拿大我的餐盤：植物性飲食有益健康，","蔬果½，蛋白質¼，蛋白質以豆類為主，肉類份量很小",https://healthylives.tw/Article/pq3fUTLscnG.html
