Category,Food Name,Alternative Name,Calorie (kcal),Modified Calorie (kcal),Water (g),Protein (g),Fat (g),SFA_g (g),Ash (g),Carbs (g),Fibre (g),Sugar (g),Glucose (g),Fructose (g),Galactose (g),Maltose (g),Sucrose (g),Lactose (g),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Iron (mg),Zinc (mg),Phosphorus (mg),Copper (mg),Manganese (mg),Vitamin A Total (IU),Vitamin A(RE) (ug),Retinol (ug),α-Carotene (ug),β-Carotene (ug),Vitamin D Total (IU),Vitamin D (ug),Vitamin D2 (ug),Vitamin D3 (ug),Vitamin E Total (mg),Vitamin E(α-TE) (mg),α-Tocopherol (mg),β-Tocopherol (mg),γ-Tocopherol (mg),δ-Tocopherol (mg),Vitamin K1 (ug),Vitamin K2 MK-4 (ug),Vitamin K2 MK-7 (ug),Vitamin B1 (mg),Vitamin B2 (mg),Nicotin (mg),Vitamin B6 (mg),Vitamin B12 (ug),Folic acid (ug),Vitamin C (mg),SFA (mg),Butyric acid (4:0) (mg),Caproic acid (6:0) (mg),Caprylic acid (8:0) (mg),Capric acid (10:0) (mg),Lauric acid (12:0) (mg),Tridecanoic acid (13:0) (mg),Myristic acid (14:0) (mg),Pentadecanoic acid (15:0) (mg),Palmitic acid (16:0) (mg),Heptadecanoic acid (17:0) (mg),Stearic acid (18:0) (mg),Nonadecanoic acid (19:0) (mg),Arachidic acid (20:0) (mg),Behenic acid (22:0) (mg),Lignoceric acid (24:0) (mg),MUFA (mg),Myristoleic acid (14:1) (mg),Palmitoleic acid (16:1) (mg),Oleic acid (18:1) (mg),Gondoic acid (20:1) (mg),Erucic acid (22:1) (mg),PUFA (mg),LA (mg),ALA (mg),Stearidonic acid (18:4) (mg),Arachidonic acid (20:4) (mg),EPA (mg),DPA (mg),DHA (mg),Other FA (mg),P/M/S,Trans Fat (mg),Total AA (mg),Asp (mg),Thr (mg),Ser (mg),Glu (mg),Pro (mg),Gly (mg),Ala (mg),Cys (mg),Val (mg),Met (mg),Ile (mg),Leu (mg),Tyr (mg),Phe (mg),Lys (mg),His (mg),Arg (mg),Trp (mg),Cholesterol (mg),Alcohol (g),CalCalories(kcal),Carbs%,Protein%,Fat%,Alcohol%
穀物類,大麥仁,大麥仁,365,347,11.7,8.6,1.6,0.5,1.0,77.1,8.5,0.4,0.0,0.0,0.0,0.0,0.3,0.0,13.0,249.0,26.0,54.0,1.8,1.2,165.0,0.22,0.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.47,0.4,0.02,0.6,0.01,0.0,0.0,0.0,0.17,0.03,3.33,0.18,0.0,49.6,0.2,467.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,423.0,0.0,32.0,0.0,1.0,3.0,4.0,165.0,0.0,1.0,156.0,2.0,7.0,946.0,891.0,55.0,0.0,0.0,0.0,0.0,0.0,16.0,5.73/1.00/2.83,0.0,8157.0,464.0,275.0,361.0,2168.0,1013.0,328.0,319.0,225.0,405.0,66.0,284.0,587.0,245.0,423.0,288.0,233.0,381.0,93.0,0.0,,357.2,0.8634,0.0963,0.0403,0.0
穀物類,大麥片,大麥片,365,352,12.1,8.6,1.8,0.5,0.8,76.7,6.0,,,,,,,,7.0,246.0,13.0,55.0,2.2,0.8,129.0,,,0.0,0.0,,0.0,0.0,,,,,0.26,0.13,0.11,0.03,0.12,0.01,,,,0.15,0.04,3.23,0.18,,27.7,9.8,456.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,404.0,0.0,35.0,0.0,5.0,6.0,0.0,308.0,0.0,0.0,260.0,14.0,34.0,1026.0,963.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33/1.00/1.48,,9031.0,474.0,288.0,359.0,2386.0,1259.0,332.0,335.0,351.0,427.0,106.0,331.0,654.0,276.0,474.0,312.0,201.0,422.0,44.0,,,357.4,0.8584,0.0963,0.0453,0.0
穀物類,大麥仁粉,大麥仁粉,389,374,5.7,7.1,1.3,0.4,0.9,85.0,7.2,0.0,0.0,0.0,,0.0,0.0,0.0,10.0,307.0,25.0,50.0,1.1,1.3,166.0,,,0.0,0.0,,,0.0,,,,,0.12,0.08,0.07,0.02,0.03,0.0,,,,0.09,0.03,2.85,0.23,,44.7,0.0,368.0,0.0,1.0,2.0,2.0,10.0,0.0,10.0,1.0,303.0,1.0,29.0,0.0,3.0,4.0,0.0,221.0,0.0,2.0,194.0,7.0,18.0,726.0,684.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29/1.00/1.67,,8332.0,495.0,272.0,358.0,2375.0,910.0,326.0,319.0,148.0,431.0,117.0,319.0,640.0,251.0,432.0,269.0,184.0,347.0,139.0,,,380.1,0.8945,0.0747,0.0308,0.0
穀物類,小米,小米,370,365,12.3,11.3,3.7,0.4,1.1,71.7,2.2,,,,,,,,1.0,202.0,5.0,108.0,2.9,2.3,164.0,,,0.0,0.0,,0.0,0.0,,,,,1.45,0.2,0.08,0.03,0.96,0.39,,,,0.46,0.11,4.15,0.32,,45.2,0.2,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,62.0,0.0,22.0,15.0,11.0,826.0,0.0,0.0,806.0,20.0,0.0,2387.0,2352.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41/1.87/1.00,,10268.0,657.0,311.0,631.0,2199.0,1232.0,236.0,1104.0,265.0,462.0,232.0,403.0,772.0,367.0,546.0,147.0,215.0,331.0,160.0,,,365.3,0.7851,0.1237,0.0912,0.0
穀物類,小米(2025年取樣),小米(2025年取樣),379,371,10.4,11.0,3.9,0.5,1.1,73.6,3.9,0.7,0.1,0.0,0.0,0.0,0.6,0.0,0.0,228.0,10.0,132.0,4.2,3.3,290.0,0.515,0.759,22.0,2.0,,,13.0,0.0,0.0,0.0,0.0,2.33,0.31,0.1,0.05,1.74,0.45,0.0,0.0,0.0,0.44,0.07,3.78,0.36,,52.6,0.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,0.0,74.0,0.0,29.0,19.0,12.0,871.0,0.0,7.0,850.0,14.0,0.0,2509.0,2463.0,46.0,0.0,0.0,0.0,0.0,0.0,11.0,4.59/1.59/1.00,0.0,10908.0,662.0,408.0,675.0,2356.0,814.0,284.0,1128.0,109.0,519.0,230.0,429.0,1334.0,389.0,581.0,186.0,213.0,387.0,202.0,,,373.5,0.7882,0.1178,0.094,0.0
穀物類,糯小米,糯小米,360,357,12.9,12.5,1.5,0.3,0.6,72.5,1.4,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,142.0,9.0,48.0,2.2,2.0,108.0,,,96.0,10.0,,0.0,57.0,,,,,0.58,0.07,0.03,0.01,0.33,0.21,,,,0.17,0.06,2.17,0.19,,28.5,0.5,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,35.0,0.0,10.0,7.0,3.0,341.0,0.0,2.0,333.0,6.0,0.0,918.0,901.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58/1.33/1.00,,11037.0,684.0,293.0,719.0,2639.0,390.0,112.0,1393.0,227.0,506.0,133.0,479.0,1615.0,399.0,638.0,127.0,233.0,271.0,179.0,,,353.5,0.8204,0.1414,0.0382,0.0
穀物類,小麥,小麥,362,338,12.6,14.1,2.6,0.5,1.5,69.2,11.3,,,,,,,,1.0,364.0,19.0,137.0,3.4,3.0,241.0,,,0.0,0.0,,0.0,0.0,,,,,3.5,1.71,1.27,0.56,1.6,0.07,,,,0.41,0.1,5.39,0.27,,73.3,5.1,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,26.0,0.0,0.0,0.0,0.0,458.0,0.0,0.0,437.0,21.0,0.0,1640.0,1526.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58/1.00/1.02,,15029.0,711.0,426.0,690.0,4739.0,1899.0,606.0,502.0,574.0,588.0,185.0,493.0,1024.0,457.0,711.0,397.0,357.0,669.0,0.0,,,356.6,0.7762,0.1582,0.0656,0.0
穀物類,小麥胚芽,小麥胚芽,417,396,4.2,31.4,11.6,1.7,4.9,47.9,10.0,,,,,,,,3.0,986.0,45.0,333.0,6.0,14.9,1173.0,,,29.0,3.0,,0.0,17.0,,,,,19.13,16.08,13.2,5.72,0.21,0.0,,,,2.44,0.52,4.02,1.4,,329.3,0.0,1735.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1669.0,0.0,51.0,0.0,0.0,0.0,5.0,1870.0,0.0,0.0,1717.0,153.0,0.0,7990.0,7141.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61/1.08/1.00,,28887.0,2779.0,1235.0,1307.0,4479.0,1400.0,1842.0,1953.0,1412.0,1473.0,393.0,991.0,1995.0,833.0,1080.0,1996.0,779.0,2620.0,321.0,,,421.6,0.4545,0.2979,0.2476,0.0
穀物類,去筋麵粉,去筋麵粉,355,354,13.6,0.2,0.1,0.0,0.3,85.7,0.4,0.0,0.0,0.0,,0.0,0.0,0.0,29.0,9.0,7.0,2.0,0.0,0.0,38.0,,,0.0,0.0,,,0.0,,,,,0.04,0.02,0.02,0.0,0.02,0.0,,,,0.01,0.0,0.1,0.02,,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,344.5,0.9951,0.0023,0.0026,0.0
穀物類,低筋麵粉,低筋麵粉,364,359,12.0,8.1,1.2,0.2,0.5,78.2,2.0,,,,,,,,1.0,148.0,12.0,26.0,1.2,0.6,75.0,,,0.0,0.0,,0.0,0.0,,,,,1.01,0.51,0.36,0.23,0.42,0.01,,,,0.17,0.04,0.88,0.07,,40.0,5.1,246.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,227.0,0.0,13.0,0.0,2.0,0.0,3.0,179.0,0.0,2.0,169.0,8.0,0.0,750.0,706.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19/1.00/1.37,,8607.0,398.0,247.0,407.0,2857.0,1071.0,317.0,285.0,329.0,376.0,43.0,299.0,597.0,215.0,382.0,208.0,198.0,322.0,56.0,,,356.0,0.8787,0.091,0.0303,0.0
